0	9	0.611126
0	12	0.538462
1	13	0.55534
2	5	0.539936
3	6	0.603498
4	6	0.626669
4	14	0.507632
6	9	0.522122
6	11	0.53085
15	16	0.594802
15	17	0.592044
15	18	0.539915
15	19	0.576667
15	20	0.562663
15	21	0.50071
15	22	0.588231
15	24	0.659568
15	25	0.607471
15	26	0.628188
15	27	0.583002
15	28	0.593002
15	29	0.609464
16	17	0.585055
16	18	0.628426
16	19	0.729093
16	20	0.523014
16	21	0.639536
16	22	0.585861
16	23	0.622505
16	24	0.648895
16	25	0.579505
16	26	0.636374
16	27	0.612655
16	28	0.581094
16	29	0.582039
17	18	0.639112
17	19	0.560688
17	20	0.556185
17	21	0.565845
17	22	0.575632
17	24	0.602605
17	25	0.562133
17	26	0.554042
17	27	0.589356
17	28	0.511677
17	29	0.656297
18	19	0.594109
18	20	0.574438
18	21	0.645008
18	22	0.600365
18	24	0.631069
18	25	0.514297
18	26	0.627887
18	27	0.627195
18	28	0.586111
18	29	0.676774
19	20	0.535312
19	21	0.655681
19	22	0.666706
19	23	0.586544
19	24	0.624791
19	25	0.619138
19	26	0.653041
19	27	0.575745
19	28	0.621966
19	29	0.572575
20	21	0.552172
20	22	0.518455
20	24	0.544549
20	25	0.52875
20	26	0.592616
20	27	0.602201
20	29	0.60994
21	22	0.641424
21	24	0.621327
21	25	0.598727
21	26	0.634041
21	27	0.625284
21	28	0.637403
21	29	0.64201
22	23	0.533675
22	24	0.69863
22	25	0.621485
22	26	0.536663
22	27	0.651836
22	28	0.577024
22	29	0.606319
23	25	0.505578
23	27	0.554447
23	28	0.527413
24	25	0.621712
24	26	0.616636
24	27	0.685975
24	28	0.618434
24	29	0.667273
25	26	0.576194
25	27	0.651984
25	28	0.617955
25	29	0.578858
26	27	0.55825
26	28	0.590874
26	29	0.623427
27	28	0.571021
27	29	0.692951
28	29	0.512148
